City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
211,lufilufi,75,WS,1518915600,59,-13.87,-171.6,89.6,10.29
212,diamantina,32,BR,1518918815,76,-18.24,-43.6,68.72,7.63
213,westport,92,IE,1518918815,97,53.8,-9.52,45.14,13.78
214,hilo,1,US,1518915360,61,19.71,-155.08,78.8,6.96
215,zlobin,92,HR,1518918816,100,45.29,14.65,42.17,5.28
216,randolph,1,US,1518915180,29,41.67,-111.18,53.6,23.04
217,knysna,0,ZA,1518915600,100,-34.04,23.05,59,3.36
218,saint-georges,80,CA,1518918819,54,46.12,-70.67,24.04,7.74
219,sorland,92,NO,1518918819,100,67.67,12.69,35.69,11.21
220,badiraguato,75,MX,1518914400,65,25.36,-107.55,78.8,11.41
221,waingapu,88,ID,1518918820,91,-9.65,120.26,79.52,10.09
222,zonhoven,0,BE,1518917100,92,50.99,5.37,32,1.12
223,naraina,0,IN,1518917400,67,26.78,75.2,57.2,2.71
224,yarmouth,56,GB,1518915000,100,50.71,-1.5,39.2,2.24
225,camargo,100,MX,1518918822,38,27.69,-105.17,66.51,1.25
226,yellowknife,90,CA,1518915600,63,62.45,-114.38,-11.21,16.11
227,le port,56,FR,1518918823,98,42.87,1.37,19.08,1.92
228,oktyabrskiy,75,RU,1518915600,85,55.61,37.97,21.2,8.95
229,shenkursk,92,RU,1518918824,87,62.11,42.91,16.79,2.37
230,kuytun,64,RU,1518918825,71,54.34,101.51,5.99,3.6
231,gasa,64,BT,1518918825,54,27.91,89.73,11.84,4.38
232,cayenne,75,GF,1518915600,83,4.94,-52.33,77,11.41
233,dukat,36,RS,1518918827,77,42.44,22.31,22.77,1.92
234,bethel,1,US,1518915180,64,60.79,-161.76,37.4,11.41
235,naze,36,NG,1518918829,95,5.43,7.07,74.44,7.63
236,eldorado,75,MX,1518914400,65,24.32,-107.36,78.8,11.41
237,freeport,0,BS,1518918816,100,26.54,-78.7,74.16,6.62
238,konstantinovka,48,MD,1518918831,89,47.99,28.86,19.49,2.82
239,hamilton,90,BM,1518915300,88,32.3,-64.78,69.8,9.17
240,merauke,8,ID,1518918832,77,-8.49,140.4,90.45,5.39
241,xucheng,92,CN,1518918833,86,33,118.51,45.41,11.1
242,muros,0,ES,1518917400,86,42.77,-9.06,41,4.7
243,washougal,90,US,1518915180,76,45.58,-122.35,50,21.92
244,torphins,0,GB,1518916800,80,57.11,-2.62,35.6,3.36
245,son la,32,VN,1518918834,76,21.32,103.9,67.69,2.26
246,chokurdakh,68,RU,1518918834,73,70.62,147.9,-10.71,12.44
247,evensk,36,RU,1518918835,88,61.92,159.24,28.31,14.67
248,nichinan,20,JP,1518915600,100,31.65,131.31,48.2,5.82
249,mitu,92,IR,1518918836,96,36.2,46.09,38.88,2.26
250,singkang,75,MY,1518915600,83,2.1,102.8,78.8,8.05
251,east london,20,ZA,1518918837,95,-33.02,27.91,73.94,22.5
252,saskylakh,32,RU,1518918837,44,71.97,114.09,-27.63,2.93
253,cortez,1,US,1518915180,24,37.35,-108.58,46.4,3.36
254,cap malheureux,40,MU,1518915600,94,-19.98,57.61,77,4.7
255,shache,0,CN,1518918840,76,38.42,77.24,28.31,3.71
256,rocha,0,UY,1518918844,61,-34.48,-54.34,69.94,10.31
257,kysyl-syr,48,RU,1518918845,62,63.9,122.77,-13.63,3.71
258,carnarvon,80,ZA,1518918845,34,-30.97,22.13,61.3,2.93
259,tehachapi,1,US,1518917700,22,35.13,-118.45,71.6,4.7
260,ilulissat,20,GL,1518915000,64,69.22,-51.1,1.4,8.05
261,buzoesti,92,RO,1518918847,99,44.58,24.92,31.91,10.76
262,honningsvag,24,NO,1518918821,100,70.98,25.97,12.6,5.17
263,ambilobe,20,MG,1518918847,91,-13.19,49.05,69.57,2.71
264,gamba,0,CN,1518918848,58,28.28,88.52,10.45,8.41
265,chino hills,1,US,1518915480,18,33.99,-117.76,73.4,9.17
266,mehamn,76,NO,1518918849,75,71.03,27.85,13.82,3.49
267,ponta delgada,40,PT,1518917400,76,37.73,-25.67,55.4,4.7
268,nexo,80,DK,1518916800,92,55.06,15.13,30.2,4.7
269,waddan,32,LY,1518918851,70,29.16,16.14,47.57,5.17
270,florence,90,US,1518918000,87,34.8,-87.68,48.2,9.17
271,shubarshi,44,KZ,1518918852,83,48.59,57.19,3.56,9.98
272,kranuan,75,TH,1518915600,78,16.71,103.08,77,3.36
273,maiduguri,0,NG,1518918854,37,11.84,13.15,66.87,9.42
274,iskateley,76,RU,1518918854,88,67.68,53.15,21.33,11.1
275,pisco,90,PE,1518915600,88,-13.71,-76.2,71.6,16.11
276,kavaratti,0,IN,1518918855,100,10.57,72.64,82.26,6.4
277,esperance,20,TT,1518915600,78,10.24,-61.45,73.4,5.95
278,maniitsoq,0,GL,1518918857,94,65.42,-52.9,-5.04,4.5
279,alofi,12,NU,1518915600,70,-19.06,-169.92,84.2,11.41
280,batagay,44,RU,1518918858,36,67.65,134.64,-24.39,4.16
281,tianpeng,92,CN,1518918858,100,28.88,112.34,51.31,13.78
282,vanavara,64,RU,1518918859,68,60.35,102.28,-1.39,5.39
283,chiang khong,92,LA,1518915600,100,20.27,100.41,59,3.38
284,north bend,90,US,1518916500,93,43.41,-124.22,48.2,16.11
285,broken hill,12,AU,1518918861,28,-31.97,141.45,97.47,5.17
286,wilmington,90,US,1518917580,100,39.75,-75.55,33.8,3.36
287,yaan,0,NG,1518918862,80,7.38,8.57,77.68,13
288,valdemarpils,90,LV,1518916800,85,57.37,22.59,24.8,3.36
289,taylor,1,US,1518916500,93,30.57,-97.41,55.4,7.52
290,sao gabriel da cachoeira,80,BR,1518918864,97,-0.13,-67.09,73.94,2.15
291,sao felix do xingu,88,BR,1518918864,100,-6.64,-51.99,72.41,2.26
292,port lincoln,100,AU,1518918709,94,-34.72,135.86,68.58,5.17
293,hirara,75,JP,1518915600,64,24.8,125.28,71.6,14.99
294,cabedelo,75,BR,1518915600,94,-6.97,-34.84,75.2,6.93
295,high level,90,CA,1518915600,66,58.52,-117.13,12.2,8.05
296,kvarkeno,44,RU,1518918867,66,52.08,59.73,-0.63,3.71
297,shimanovsk,8,RU,1518918868,47,52,127.67,6.26,3.6
298,pare,0,ID,1518918869,77,-7.77,112.2,83.7,3.83
299,miles city,40,US,1518915180,73,46.41,-105.84,19.4,8.05
300,praia da vitoria,20,PT,1518915600,82,38.73,-27.07,55.4,16.24
301,shingu,75,JP,1518915600,38,33.72,135.99,42.8,12.75
302,sibenik,92,HR,1518918871,97,45.81,17.18,33.26,2.71
303,nanakuli,90,US,1518915360,73,21.39,-158.15,80.6,5.82
304,buala,76,SB,1518918873,81,-8.15,159.59,84.74,12.21
305,bambous virieux,40,MU,1518915600,94,-20.34,57.76,77,4.7
306,henties bay,92,NA,1518918874,100,-22.12,14.28,62.46,3.71
307,san cristobal,75,EC,1518915600,82,-0.39,-78.55,55.4,11.41
308,rapid valley,90,US,1518917700,79,44.06,-103.15,26.6,3.36
309,bathsheba,40,BB,1518915600,73,13.22,-59.52,77,18.34
310,oranjemund,88,ZA,1518918876,95,-28.55,16.43,62.51,4.38
311,fruitville,1,US,1518915180,93,36.62,-91.77,39.2,3.36
312,sala,80,SE,1518916800,86,59.92,16.61,30.2,3.36
313,santa isabel,36,CO,1518918879,98,4.71,-75.1,62.24,0.92
314,esil,64,KZ,1518918879,79,51.96,66.41,10.67,5.17
315,oussouye,0,SN,1518918880,87,12.49,-16.54,70.79,19.48
316,linhares,76,BR,1518918880,81,-19.38,-40.06,75.6,4.72
317,klaksvik,12,FO,1518916800,80,62.23,-6.59,33.8,10.2
318,sola,90,FI,1518916800,84,62.78,29.36,8.6,2.24
319,la palma,64,CO,1518918883,97,5.36,-74.39,66.96,2.37
320,halifax,90,CA,1518915600,62,44.65,-63.58,19.4,2.24
321,atambua,20,ID,1518918884,100,-9.11,124.89,80.46,10.2
322,walvis bay,92,NA,1518915600,93,-22.95,14.51,59,6.93
323,santa rosa,0,AR,1518918889,50,-36.62,-64.29,81.86,14.67
324,ocos,75,GT,1518918180,78,14.51,-92.19,77,3.6
325,tuatapere,36,NZ,1518918890,87,-46.13,167.69,63.64,23.4
326,linxia,80,CN,1518918890,71,35.6,103.21,21.15,3.71
327,butte,90,US,1518916200,77,46.01,-112.54,32,3.36
328,barhi,0,IN,1518915600,81,24.31,85.42,53.6,4.83
329,anadyr,88,RU,1518918892,94,64.73,177.51,30.92,22.5
330,meiningen,75,DE,1518916800,75,50.57,10.42,32,2.24
331,gusinoye ozero,20,RU,1518918893,57,51.11,106.26,4.37,4.16
332,saint-joseph,90,FR,1518917400,100,43.56,6.97,51.8,3.36
333,vestmannaeyjar,92,IS,1518918895,100,63.44,-20.27,37.99,12.55
334,russell,0,AR,1518915600,37,-33.01,-68.8,84.2,11.41
335,ravar,24,IR,1518918896,54,31.27,56.81,41.31,2.15
336,yerbogachen,44,RU,1518918897,74,61.28,108.01,-7.11,3.94
337,cherskiy,36,RU,1518918897,62,68.75,161.3,-7.47,3.15
338,puerto escondido,75,MX,1518914400,78,15.86,-97.07,78.8,3.36
339,louis trichardt,48,ZA,1518918899,93,-23.04,29.91,67.91,6.73
340,leningradskiy,80,RU,1518918900,82,69.38,178.42,26.06,12.77
341,moroni,0,US,1518918901,47,39.52,-111.59,32.67,6.29
342,mutare,92,MZ,1518918901,98,-18.97,32.67,64.31,2.15
343,san benedetto del tronto,92,IT,1518915000,87,42.95,13.88,44.6,3.36
344,svetlogorsk,36,RU,1518915600,77,53.14,59.15,-0.41,3.6
345,ahuimanu,75,US,1518915360,61,21.44,-157.84,80.6,10.29
346,znamenskoye,68,RU,1518918903,76,57.13,73.82,7.97,8.41
347,sobolevo,92,RU,1518918904,96,54.43,31.9,27.9,7.4
348,vilhena,12,BR,1518918904,97,-12.74,-60.15,71.56,2.15
349,oksfjord,0,NO,1518916800,72,70.24,22.35,15.8,6.93
350,santiago del estero,92,AR,1518918905,100,-27.8,-64.26,71.19,5.73
351,half moon bay,1,US,1518917700,81,37.46,-122.43,69.8,6.93
352,asosa,0,ET,1518918906,52,10.07,34.53,66.25,6.4
353,deputatskiy,32,RU,1518918907,76,69.3,139.9,-18.5,2.93
354,coquimbo,75,CL,1518915600,93,-29.95,-71.34,60.8,3.36
355,ulaangom,0,MN,1518918908,61,49.98,92.07,-11.38,1.7
356,portland,75,US,1518915360,66,45.52,-122.67,50,14.99
357,dhenkanal,0,IN,1518917400,93,20.65,85.6,64.4,2.24
358,buraydah,40,SA,1518915600,68,26.33,43.97,68,16.11
359,xinmin,92,CN,1518915600,37,42,122.83,17.6,6.71
360,gweta,12,BW,1518918911,91,-20.21,25.26,67.01,8.63
361,sakaiminato,20,JP,1518915600,41,35.55,133.23,39.2,2.24
362,diego de almagro,0,CL,1518918913,87,-26.39,-70.05,59.99,0.92
363,broome,48,GB,1518916800,86,52.47,1.45,37.4,8.05
364,tadepallegudem,0,IN,1518918915,79,16.82,81.53,74.8,5.06
365,novoagansk,76,RU,1518918916,77,61.94,76.66,9.45,5.5
366,banjar,12,ID,1518918917,82,-7.37,108.54,81.72,3.04
367,bataysk,88,RU,1518918917,98,47.14,39.74,32.36,2.93
368,luderitz,36,NA,1518915600,82,-26.65,15.16,64.4,5.82
369,pangnirtung,44,CA,1518918918,32,66.15,-65.72,-21.92,9.19
370,pevek,64,RU,1518918918,67,69.7,170.27,2.66,6.51
371,kashary,92,RU,1518918919,94,49.04,41.01,26.29,6.17
372,dhidhdhoo,0,MV,1518918920,100,6.88,73.1,80.91,3.71
